Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1836,11,22043,-3.300000000000012,50.1,4.55,9.5,17.7,11.05,4,8.67,24,1.0,2.93,5.21,13.69,8.17,4,8.41,24,1.0,-0.41,5.73,10.6,5.13,4,6.57,24,1.0,992.77,997.4,1005.96,998.92,5,7.91,24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,-1.8999999999999773,0.9,2.92,3.6,4.28,3.6,2,1.41,18,1.0,-1.37,-0.78,-0.19,-0.78,2,1.23,18,1.0,2.87,3.45,4.03,3.45,2,1.2,18,1.0,1013.52,1014.0,1014.48,1014.0,2,0.99,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,-1.6999999999999886,-21.7,9.3,9.3,9.3,9.3,1,0.0,24,1.0,-8.62,-8.62,-8.62,-8.62,1,0.0,24,1.0,3.48,3.48,3.48,3.48,1,0.0,24,1.0,1019.4,1019.4,1019.4,1019.4,1,0.0,24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,-1.6999999999999886,50.1,8.65,12.85,17.05,12.85,2,8.7,26,1.0,0.4,1.25,2.11,1.25,2,1.77,26,1.0,8.24,12.61,16.97,12.61,2,9.04,26,1.0,1000.34,1011.25,1024.01,1010.97,16,12.04,8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,-1.1999999999999886,-23.3,0.0,0.0,4.57,2.23,3,3.87,22,1.0,0.0,0.0,0.0,0.0,3,0.0,22,1.0,0.0,0.0,4.57,2.23,3,3.87,22,1.0,1019.4,1019.4,1019.4,1019.4,2,0.0,22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,-1.1999999999999886,2.4,2.6,2.6,2.6,2.6,1,0.0,16,1.0,-0.41,-0.41,-0.41,-0.41,1,0.0,16,1.0,2.57,2.57,2.57,2.57,1,0.0,16,1.0,1014.7,1014.7,1014.7,1014.7,1,0.0,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,0.1,2.8,2.6,2.6,2.6,2.6,1,0.0,14,1.0,0.14,0.14,0.14,0.14,1,0.0,14,1.0,2.6,2.6,2.6,2.6,1,0.0,14,1.0,1012.0,1012.0,1012.0,1012.0,2,0.0,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,0.5,-23.9,0.0,0.0,0.0,0.0,1,0.0,22,1.0,0.0,0.0,0.0,0.0,1,0.0,22,1.0,0.0,0.0,0.0,0.0,1,0.0,22,1.0,1019.4,1019.4,1019.4,1019.4,1,0.0,22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,0.9,50.6,17.69,22.6,22.6,20.2,3,4.16,12,1.0,-3.74,15.98,15.98,6.35,3,16.68,12,1.0,10.8,15.98,15.98,13.45,3,4.38,12,1.0,993.44,994.7,1001.04,997.13,4,6.55,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,1.0,-25.3,1.48,4.65,7.82,4.65,2,6.58,20,1.0,-5.53,-3.29,-1.04,-3.29,2,4.65,20,1.0,1.04,3.29,5.53,3.29,2,4.65,20,1.0,1018.7,1018.7,1018.7,1018.7,1,0.0,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,2.3,50.9,4.19,10.8,16.14,10.53,6,6.3,12,1.0,2.96,4.95,13.04,7.58,6,6.55,12,1.0,-1.77,2.55,6.4,2.5,6,7.31,12,1.0,997.7,1004.95,1011.25,1004.13,6,7.71,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,2.4,-25.4,0.0,0.0,0.0,0.0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,1,0.0,20,1.0,1017.3,1017.3,1017.3,1017.3,1,0.0,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,2.4,52.4,9.1,19.0,19.0,15.66,10,5.94,12,1.0,-11.99,6.72,18.41,4.83,10,14.62,12,1.0,-0.3,5.97,8.06,5.3,10,6.08,12,1.0,984.2,996.0,1005.41,995.4,12,10.86,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,6.5,-27.1,9.3,9.3,9.3,9.3,1,0.0,16,1.0,-9.19,-9.19,-9.19,-9.19,1,0.0,16,1.0,1.45,1.45,1.45,1.45,1,0.0,16,1.0,1016.0,1016.0,1016.0,1016.0,1,0.0,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,6.6,-23.9,1.0,1.0,1.0,1.0,1,0.0,28,1.0,-0.86,-0.86,-0.86,-0.86,1,0.0,28,1.0,0.52,0.52,0.52,0.52,1,0.0,28,1.0,1013.3,1013.3,1013.3,1013.3,1,0.0,28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,8.6,-27.7,9.3,9.3,9.3,9.3,1,0.0,16,1.0,-8.79,-8.79,-8.79,-8.79,1,0.0,16,1.0,3.03,3.03,3.03,3.03,1,0.0,16,1.0,1016.0,1016.0,1016.0,1016.0,1,0.0,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,8.6,-25.6,2.6,2.6,2.6,2.6,1,0.0,26,1.0,-1.93,-1.93,-1.93,-1.93,1,0.0,26,1.0,1.74,1.74,1.74,1.74,1,0.0,26,1.0,1013.6,1013.6,1013.6,1013.6,1,0.0,26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,10.2,-29.4,1.06,3.35,5.64,3.35,2,4.74,14,1.0,-4.25,-2.53,-0.8,-2.53,2,3.58,14,1.0,0.7,2.2,3.7,2.2,2,3.11,14,1.0,1015.41,1015.65,1015.89,1015.65,2,0.49,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,12.0,-27.6,2.6,2.6,2.6,2.6,1,0.0,26,1.0,-1.93,-1.93,-1.93,-1.93,1,0.0,26,1.0,1.74,1.74,1.74,1.74,1,0.0,26,1.0,1017.3,1017.3,1017.3,1017.3,1,0.0,26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,12.1,-31.2,4.6,4.6,4.6,4.6,1,0.0,12,1.0,1.42,1.42,1.42,1.42,1,0.0,12,1.0,4.37,4.37,4.37,4.37,1,0.0,12,1.0,1015.3,1015.3,1015.3,1015.3,1,0.0,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,14.5,-31.5,1.0,1.0,1.0,1.0,1,0.0,24,1.0,0.63,0.63,0.63,0.63,1,0.0,24,1.0,-0.78,-0.78,-0.78,-0.78,1,0.0,24,1.0,1013.3,1013.3,1013.3,1013.3,1,0.0,24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,14.8,-33.0,1.0,1.0,1.0,1.0,1,0.0,22,1.0,-0.09,-0.09,-0.09,-0.09,1,0.0,22,1.0,1.0,1.0,1.0,1.0,1,0.0,22,1.0,1015.3,1015.3,1015.3,1015.3,1,0.0,22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,14.9,-35.1,12.3,12.3,12.3,12.3,1,0.0,10,1.0,-7.74,-7.74,-7.74,-7.74,1,0.0,10,1.0,9.56,9.56,9.56,9.56,1,0.0,10,1.0,1015.3,1015.3,1015.3,1015.3,1,0.0,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,18.6,-35.5,4.95,9.3,9.3,7.23,4,4.15,14,1.0,-4.2,-0.73,3.5,-0.36,4,5.84,14,1.0,-2.72,3.43,7.69,2.53,4,6.64,14,1.0,1009.87,1013.3,1017.41,1013.63,4,4.48,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,20.9,-35.3,0.83,2.6,5.4,3.1,3,3.38,14,1.0,-5.04,-2.02,-0.64,-2.82,3,3.29,14,1.0,0.52,1.64,1.78,1.16,3,1.01,14,1.0,1005.77,1007.2,1015.53,1010.57,3,7.72,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,22.5,-35.4,7.58,12.3,20.31,13.56,5,7.27,16,1.0,-4.69,7.74,18.48,7.24,5,12.21,16,1.0,-6.59,-2.23,9.34,0.62,5,8.22,16,1.0,1007.5,1012.6,1016.7,1012.6,6,5.16,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,24.4,-35.3,3.55,4.6,8.63,6.03,4,4.29,14,1.0,-2.89,0.63,7.01,2.0,4,6.51,14,1.0,-2.13,0.78,4.83,1.32,4,4.1,14,1.0,1007.42,1010.9,1014.38,1010.9,4,4.39,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,26.5,-35.2,1.46,4.6,14.43,7.87,3,9.91,18,1.0,1.13,3.57,9.3,5.18,3,6.14,18,1.0,-1.98,0.0,10.08,3.96,3,9.47,18,1.0,1001.84,1006.15,1010.61,1006.23,4,5.21,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,26.5,-33.8,23.27,24.7,26.13,24.7,2,2.97,18,1.0,22.63,22.96,23.29,22.96,2,0.68,18,1.0,4.05,7.68,11.31,7.68,2,7.52,18,1.0,1007.42,1010.9,1014.38,1010.9,2,7.21,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,28.5,-33.5,6.09,9.3,15.92,10.97,3,7.34,18,1.0,-13.01,-4.57,3.48,-4.76,3,12.08,18,1.0,-7.75,-5.85,-2.19,-4.99,3,4.14,18,1.0,1004.02,1007.15,1009.76,1006.9,4,3.65,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,32.1,-30.0,2.6,2.6,2.6,2.6,1,0.0,10,1.0,-2.47,-2.47,-2.47,-2.47,1,0.0,10,1.0,0.8,0.8,0.8,0.8,1,0.0,10,1.0,1021.1,1021.1,1021.1,1021.1,1,0.0,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,32.6,-33.4,4.6,4.6,4.6,4.6,1,0.0,22,1.0,-4.57,-4.57,-4.57,-4.57,1,0.0,22,1.0,-0.48,-0.48,-0.48,-0.48,1,0.0,22,1.0,1010.9,1010.9,1010.9,1010.9,1,0.0,22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,34.4,-29.4,6.7,6.7,6.7,6.7,1,0.0,8,1.0,2.18,2.18,2.18,2.18,1,0.0,8,1.0,6.33,6.33,6.33,6.33,1,0.0,8,1.0,1019.4,1019.4,1019.4,1019.4,1,0.0,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,36.4,-29.2,4.6,4.6,4.6,4.6,1,0.0,8,1.0,-4.13,-4.13,-4.13,-4.13,1,0.0,8,1.0,-2.02,-2.02,-2.02,-2.02,1,0.0,8,1.0,1014.3,1014.3,1014.3,1014.3,1,0.0,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,38.4,-29.0,4.6,4.6,4.6,4.6,1,0.0,6,1.0,-4.17,-4.17,-4.17,-4.17,1,0.0,6,1.0,-1.94,-1.94,-1.94,-1.94,1,0.0,6,1.0,1016.7,1016.7,1016.7,1016.7,1,0.0,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,40.2,-29.4,2.6,2.6,2.6,2.6,1,0.0,6,1.0,2.36,2.36,2.36,2.36,1,0.0,6,1.0,1.1,1.1,1.1,1.1,1,0.0,6,1.0,1012.6,1012.6,1012.6,1012.6,1,0.0,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,40.7,-31.2,2.6,2.6,2.6,2.6,1,0.0,18,1.0,-1.77,-1.77,-1.77,-1.77,1,0.0,18,1.0,-1.9,-1.9,-1.9,-1.9,1,0.0,18,1.0,1007.5,1007.5,1007.5,1007.5,1,0.0,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,42.5,-31.1,4.6,4.6,4.6,4.6,1,0.0,16,1.0,-1.72,-1.72,-1.72,-1.72,1,0.0,16,1.0,-4.27,-4.27,-4.27,-4.27,1,0.0,16,1.0,1007.5,1007.5,1007.5,1007.5,1,0.0,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,44.8,-29.8,1.0,1.0,1.0,1.0,1,0.0,16,1.0,-0.92,-0.92,-0.92,-0.92,1,0.0,16,1.0,-0.39,-0.39,-0.39,-0.39,1,0.0,16,1.0,1007.5,1007.5,1007.5,1007.5,1,0.0,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,46.3,-27.8,4.6,4.6,4.6,4.6,1,0.0,2,1.0,-4.23,-4.23,-4.23,-4.23,1,0.0,2,1.0,-1.8,-1.8,-1.8,-1.8,1,0.0,2,1.0,1017.7,1017.7,1017.7,1017.7,1,0.0,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,46.5,-29.5,1.9,3.85,5.8,3.85,2,4.03,14,1.0,-2.17,-1.44,-0.71,-1.44,2,1.51,14,1.0,-5.37,-3.57,-1.77,-3.57,2,3.74,14,1.0,1009.2,1009.2,1009.2,1009.2,1,0.0,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,49.0,-29.1,6.7,6.7,6.7,6.7,1,0.0,12,1.0,-4.9,-4.9,-4.9,-4.9,1,0.0,12,1.0,-4.57,-4.57,-4.57,-4.57,1,0.0,12,1.0,1015.3,1015.3,1015.3,1015.3,1,0.0,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,52.2,-27.8,9.3,9.3,9.3,9.3,1,0.0,12,1.0,-3.33,-3.33,-3.33,-3.33,1,0.0,12,1.0,8.68,8.68,8.68,8.68,1,0.0,12,1.0,1016.0,1016.0,1016.0,1016.0,1,0.0,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,56.4,-27.5,4.6,4.6,4.6,4.6,2,0.0,8,1.0,-0.98,-0.35,0.27,-0.35,2,1.29,8,1.0,4.44,4.49,4.54,4.49,2,0.1,8,1.0,1014.3,1014.3,1014.3,1014.3,1,0.0,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,58.1,-27.5,6.7,6.7,6.7,6.7,1,0.0,8,1.0,-3.45,-3.45,-3.45,-3.45,1,0.0,8,1.0,-5.74,-5.74,-5.74,-5.74,1,0.0,8,1.0,1014.3,1014.3,1014.3,1014.3,1,0.0,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,11,22043,60.2,-27.0,4.6,4.6,4.6,4.6,1,0.0,6,1.0,-4.54,-4.54,-4.54,-4.54,1,0.0,6,1.0,0.72,0.72,0.72,0.72,1,0.0,6,1.0,1017.0,1017.0,1017.0,1017.0,1,0.0,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
